2024-07-09 16:27:55,569 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-17
2024-07-09 16:27:55,570 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-18
2024-07-09 16:27:55,570 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-19
2024-07-09 16:27:55,571 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-20
2024-07-09 16:27:55,571 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-21
2024-07-09 16:27:55,572 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-22
2024-07-09 16:27:55,573 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-23
2024-07-09 16:27:55,574 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-24
2024-07-09 16:27:55,575 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-25
2024-07-09 16:27:55,576 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-26
2024-07-09 16:27:55,577 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-27
2024-07-09 16:27:55,577 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-28
2024-07-09 16:27:55,578 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-29
2024-07-09 16:27:55,578 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-06-30
2024-07-09 16:28:05,594 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:28:15,599 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:28:25,615 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:28:35,625 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:28:39,594 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:29:07,650 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:29:07,653 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-01 with 4 files.
2024-07-09 16:29:07,657 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-01
2024-07-09 16:29:12,657 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-02 with 1 files.
2024-07-09 16:29:17,670 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:29:17,674 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-02
2024-07-09 16:29:17,675 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-03 with 5 files.
2024-07-09 16:29:22,676 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-04 with 1 files.
2024-07-09 16:29:27,687 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:29:27,691 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-05 with 2 files.
2024-07-09 16:29:27,691 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-03
2024-07-09 16:29:27,691 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-04
2024-07-09 16:29:32,706 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-06 with 5 files.
2024-07-09 16:29:37,704 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:29:37,706 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-05
2024-07-09 16:29:37,707 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-06
2024-07-09 16:29:37,721 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-07 with 2 files.
2024-07-09 16:29:42,732 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-08 with 5 files.
2024-07-09 16:29:47,722 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:29:47,723 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-07
2024-07-09 16:29:47,723 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-08
2024-07-09 16:29:47,738 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-09 with 5 files.
2024-07-09 16:29:52,747 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-10 with 5 files.
2024-07-09 16:29:57,737 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:29:57,738 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-09
2024-07-09 16:29:57,739 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-10
2024-07-09 16:29:57,755 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-11 with 5 files.
2024-07-09 16:30:02,763 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-12 with 4 files.
2024-07-09 16:30:07,750 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:30:07,752 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-11
2024-07-09 16:30:07,753 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-12
2024-07-09 16:30:07,766 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-13 with 1 files.
2024-07-09 16:30:12,771 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-14 with 1 files.
2024-07-09 16:31:23,664 | spam.py | Thread-2 | [INFO] - Delete folder thread called
2024-07-09 16:31:23,666 | spam.py | Thread-1 | [INFO] - Created folder 2024-05-01 with 4 files.
2024-07-09 16:31:23,671 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-01
2024-07-09 16:31:23,672 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-13
2024-07-09 16:31:23,672 | spam.py | Thread-2 | [INFO] - Deleted folder: E:\Projects\Logging\Result\Videos\2024-05-14
